Roll Number, User Name, Email-id
BT13CSE01, parth_95, parth12@gmail.com
BT13CSE02, ravi23, ravi95@gmail.com
BT13CSE03, prathamesh1, pdahale@gmail.com
BT13CSE201,ABC 4561,1abc@def.gh
BT13CSE202,ABC 4562,2abc@def.gh
BT13CSE203,ABC 4563,abc1@def.gh
BT13CSE204,ABC 4564,abc2@def.gh
BT13CSE205,ABC 4565,abc1@def.gh
BT13CSE206,ABC 4566,1abc@def.gh
BT13CSE207,ABC 4567,2abc@def.gh
BT13CSE208,ABC 4568,abc1@def.gh
BT13CSE209,ABC 4569,abc2@def.gh
BT13CSE210,ABC 4570,abc1@def.gh
BT13CSE211,ABC 4571,1abc@def.gh
BT13CSE212,ABC 4572,2abc@def.gh
BT13CSE213,ABC 4573,abc1@def.gh
BT13CSE214,ABC 4574,abc2@def.gh
BT13CSE215,ABC 4575,abc1@def.gh
BT13CSE216,ABC 4576,1abc@def.gh
BT13CSE217,ABC 4577,2abc@def.gh
BT13CSE218,ABC 4578,abc1@def.gh
BT13CSE219,ABC 4579,abc2@def.gh
BT13CSE220,ABC 4580,abc1@def.gh
BT13CSE221,ABC 4581,1abc@def.gh
BT13CSE222,ABC 4582,2abc@def.gh
BT13CSE223,ABC 4583,abc1@def.gh
BT13CSE224,ABC 4584,abc2@def.gh
BT13CSE225,ABC 4585,abc1@def.gh
BT13CSE226,ABC 4586,1abc@def.gh
BT13CSE227,ABC 4587,2abc@def.gh
BT13CSE228,ABC 4588,abc1@def.gh
BT13CSE229,ABC 4589,abc2@def.gh
BT13CSE230,ABC 4590,abc1@def.gh
BT13CSE231,ABC 4591,1abc@def.gh
BT13CSE232,ABC 4592,2abc@def.gh
BT13CSE233,ABC 4593,abc1@def.gh
BT13CSE234,ABC 4594,abc2@def.gh
BT13CSE235,ABC 4595,abc1@def.gh
BT13CSE236,ABC 4596,1abc@def.gh
BT13CSE237,ABC 4597,2abc@def.gh
BT13CSE238,ABC 4598,abc1@def.gh
BT13CSE239,ABC 4599,abc2@def.gh
BT13CSE240,ABC 4600,abc1@def.gh
BT13CSE241,ABC 4601,1abc@def.gh
BT13CSE242,ABC 4602,2abc@def.gh
BT13CSE243,ABC 4603,abc1@def.gh
BT13CSE244,ABC 4604,abc2@def.gh
BT13CSE245,ABC 4605,abc1@def.gh
BT13CSE246,ABC 4606,1abc@def.gh
BT13CSE247,ABC 4607,2abc@def.gh
BT13CSE248,ABC 4608,abc1@def.gh
BT13CSE249,ABC 4609,abc2@def.gh
BT13CSE250,ABC 4610,abc1@def.gh
BT13CSE251,ABC 4611,1abc@def.gh
BT13CSE252,ABC 4612,2abc@def.gh
BT13CSE253,ABC 4613,abc1@def.gh
BT13CSE254,ABC 4614,abc2@def.gh
BT13CSE255,ABC 4615,abc1@def.gh
BT13CSE256,ABC 4616,1abc@def.gh
BT13CSE257,ABC 4617,2abc@def.gh
BT13CSE258,ABC 4618,abc1@def.gh
BT13CSE259,ABC 4619,abc2@def.gh
BT13CSE260,ABC 4620,abc1@def.gh
BT13CSE261,ABC 4621,1abc@def.gh
BT13CSE262,ABC 4622,2abc@def.gh
BT13CSE263,ABC 4623,abc1@def.gh
BT13CSE264,ABC 4624,abc2@def.gh
BT13CSE265,ABC 4625,abc1@def.gh
BT13CSE266,ABC 4626,1abc@def.gh
BT13CSE267,ABC 4627,2abc@def.gh
BT13CSE268,ABC 4628,abc1@def.gh
BT13CSE269,ABC 4629,abc2@def.gh
BT13CSE270,ABC 4630,abc1@def.gh
BT13CSE271,ABC 4631,1abc@def.gh
BT13CSE272,ABC 4632,2abc@def.gh
BT13CSE273,ABC 4633,abc1@def.gh
BT13CSE274,ABC 4634,abc2@def.gh
BT13CSE275,ABC 4635,abc1@def.gh
BT13CSE276,ABC 4636,1abc@def.gh
BT13CSE277,ABC 4637,2abc@def.gh
BT13CSE278,ABC 4638,abc1@def.gh
BT13CSE279,ABC 4639,abc2@def.gh
BT13CSE280,ABC 4640,abc1@def.gh
BT13CSE281,ABC 4641,1abc@def.gh
BT13CSE282,ABC 4642,2abc@def.gh
BT13CSE283,ABC 4643,abc1@def.gh
BT13CSE284,ABC 4644,abc2@def.gh
BT13CSE285,ABC 4645,abc1@def.gh
BT13CSE286,ABC 4646,1abc@def.gh
BT13CSE287,ABC 4647,2abc@def.gh
BT13CSE288,ABC 4648,abc1@def.gh
BT13CSE289,ABC 4649,abc2@def.gh
BT13CSE290,ABC 4650,abc1@def.gh
BT13CSE291,ABC 4651,1abc@def.gh
BT13CSE292,ABC 4652,2abc@def.gh
BT13CSE293,ABC 4653,abc1@def.gh
BT13CSE294,ABC 4654,abc2@def.gh
BT13CSE295,ABC 4655,abc1@def.gh
BT13CSE296,ABC 4656,1abc@def.gh
BT13CSE297,ABC 4657,2abc@def.gh
BT13CSE298,ABC 4658,abc1@def.gh
BT13CSE299,ABC 4659,abc2@def.gh
BT13CSE300,ABC 4660,abc1@def.gh
BT13CSE301,ABC 4661,1abc@def.gh
BT13CSE302,ABC 4662,2abc@def.gh
BT13CSE303,ABC 4663,abc1@def.gh
BT13CSE304,ABC 4664,abc2@def.gh
BT13CSE305,ABC 4665,abc1@def.gh
BT13CSE306,ABC 4666,1abc@def.gh
BT13CSE307,ABC 4667,2abc@def.gh
BT13CSE308,ABC 4668,abc1@def.gh
BT13CSE309,ABC 4669,abc2@def.gh
BT13CSE310,ABC 4670,abc1@def.gh
BT13CSE311,ABC 4671,1abc@def.gh
BT13CSE312,ABC 4672,2abc@def.gh
BT13CSE313,ABC 4673,abc1@def.gh
BT13CSE314,ABC 4674,abc2@def.gh
BT13CSE315,ABC 4675,abc1@def.gh
BT13CSE316,ABC 4676,1abc@def.gh
BT13CSE317,ABC 4677,2abc@def.gh
BT13CSE318,ABC 4678,abc1@def.gh
BT13CSE319,ABC 4679,abc2@def.gh
BT13CSE320,ABC 4680,abc1@def.gh
BT13CSE321,ABC 4681,1abc@def.gh
BT13CSE322,ABC 4682,2abc@def.gh
BT13CSE323,ABC 4683,abc1@def.gh
BT13CSE324,ABC 4684,abc2@def.gh
BT13CSE325,ABC 4685,abc1@def.gh
BT13CSE326,ABC 4686,1abc@def.gh
BT13CSE327,ABC 4687,2abc@def.gh
BT13CSE328,ABC 4688,abc1@def.gh
BT13CSE329,ABC 4689,abc2@def.gh
BT13CSE330,ABC 4690,abc1@def.gh
BT13CSE331,ABC 4691,1abc@def.gh
BT13CSE332,ABC 4692,2abc@def.gh
BT13CSE333,ABC 4693,abc1@def.gh
BT13CSE334,ABC 4694,abc2@def.gh
BT13CSE335,ABC 4695,abc1@def.gh
BT13CSE336,ABC 4696,1abc@def.gh
